drift_mode,strategy,batch,model_version,accuracy,f1,precision,recall,drift_severity,drift_flags,concept_drift,retrained,train_duration,inference_time,policy_reason
clean_temporal,Static,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,1.0521533489227295,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
clean_temporal,Static,batch_2,v1,0.8116,0.7258440046565774,0.7640931372549019,0.6912416851441242,0.5525473822868721,1,False,False,0.0,0.044464111328125,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0302) | Persistence (1) < 2"
clean_temporal,Static,batch_3,v1,0.8154,0.7360594795539034,0.7665276950565812,0.7079207920792079,0.5524326763605064,1,False,False,0.0,0.04784679412841797,All conditions met. Triggering retrain.
clean_temporal,Static,batch_4,v1,0.813,0.7241074063145471,0.761166253101737,0.6904895891952729,0.5522294927195119,1,False,False,0.0,0.05468344688415527,All conditions met. Triggering retrain.
clean_temporal,Static,batch_5,v1,0.8072,0.7158018867924528,0.7517027863777089,0.6831738885762522,0.5522113442894286,1,False,False,0.0,0.05730319023132324,All conditions met. Triggering retrain.
clean_temporal,Static,batch_6,v1,0.8216,0.7420474262579526,0.7832722832722833,0.704945054945055,0.5523570001677407,1,False,False,0.0,0.06467366218566895,All conditions met. Triggering retrain.
clean_temporal,Static,batch_7,v1,0.7874,0.7283414260158446,0.699901768172888,0.7591901971230687,0.6021943320458493,2,False,False,0.0,0.04719090461730957,All conditions met. Triggering retrain.
clean_temporal,Static,batch_8,v1,0.7824,0.7228731533367295,0.6993592902907836,0.7480231945176594,0.6020250309150504,2,False,False,0.0,0.05649590492248535,All conditions met. Triggering retrain.
clean_temporal,Static,batch_9,v1,0.7744,0.7060969254820219,0.6798795785248369,0.7344173441734417,0.6022403407152839,2,False,False,0.0,0.06683993339538574,All conditions met. Triggering retrain.
clean_temporal,Static,batch_10,v1,0.7772,0.7076115485564305,0.6867040244523688,0.7298321602598808,0.6023010557231422,2,False,False,0.0,0.047005653381347656,All conditions met. Triggering retrain.
clean_temporal,Static,batch_11,v1,0.7762,0.7201800450112528,0.6966618287373004,0.7453416149068323,0.6026471701013807,2,False,False,0.0,0.05830526351928711,All conditions met. Triggering retrain.
clean_temporal,Static,batch_12,v1,0.775,0.7185389041781336,0.6887290167865707,0.7510460251046025,0.6021716869587009,2,False,False,0.0,0.051204681396484375,All conditions met. Triggering retrain.
clean_temporal,Policy-CurrentAnchor,batch_1,v1,0.8232,0.7504234895539243,0.7877889745109662,0.7164420485175202,0.0,0,False,False,0.0,0.05772066116333008,"Severity (0.0000) < 0.1 | Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0050) | Persistence (0) < 2"
clean_temporal,Policy-CurrentAnchor,batch_2,v1,0.8116,0.7258440046565774,0.7640931372549019,0.6912416851441242,0.5525473822868721,1,False,False,0.0,0.05226302146911621,"Concept drift below thresholds (f1_drop=0.0000, recall_drop=0.0302) | Persistence (1) < 2"
